parameter,symbol,value,prior,unit,test_source,measured_or_calibrated,notes
Mode-II fracture energy (bed joint),G_fII,,1.25,N/mm,,calibrated,"prior: Wilding 2017 rule G_fII = 10*G_fI = 1250 J/m2 = 1.25 N/mm (same unit warning as G_fI); adopting the 10x ratio removes one free parameter || [Decision 008, W4D3 2026-07-27] HELD AT PRIOR: c&G_fII x0.6 leave curve unchanged through 0.5% drift. Governs deep post-peak (diagonal-shear regime the topology cannot form). Unfalsified, not calibrated."
Joint tensile strength (head joint),f_t_head,,0.04,MPa,Wilding 2017 Table 3 (PUP vert. joint),prior/Wilding,"Day 6 (2026-07-22) UPDATED from provisional 0.047: Wilding Table 3 PUP vert. joint = 0.04 MPa; rule is f_t,hor / 4 (their Table 4), NOT the /3 previously assumed by mis-borrowing Wilding's stiffness-moduli/3 rule. Source = paper Table 3 (Zenodo 2602584 .inp not accessible; paper is citable authority). NB Wilding's PUP model was PUP3/PUP4 (flexural) only - not PUP2 - same masonry typology so priors hold; see Decision 004 addendum rev"
Joint cohesion (head joint),c_head,,0.07,MPa,Wilding 2017 Table 3 (PUP vert. joint),prior/Wilding,"Day 6 (2026-07-22) UPDATED from provisional 0.09: Wilding Table 3 PUP vert. joint = 0.07 MPa; derived by Wilding from head-joint f_t via Eq.1 inverted (c = f_t*2*tan_phi = 0.04*2*0.94 = 0.075 ~ 0.07), NOT the /3 of bed-joint c previously assumed. Source = paper Table 3; same PUP3/PUP4-flexural caveat as f_t_head"
Mode-I fracture energy (head joint),G_fI_head,,0.033,N/mm,,calibrated,"prior: Wilding 2017 Table 3, PUP head joint, 33 J/m2 = 0.033 N/mm"
Mode-II fracture energy (head joint),G_fII_head,,0.33,N/mm,,calibrated,prior: 10x G_fI_head per Wilding rule = 0.33 N/mm; not independently reported
Brick tensile strength (for crack interfaces),f_t_brick,,1.27,MPa,,calibrated/literature,drives through-brick cracking; f_b_ft = 1.27 MPa is the experimental anchor; Wilding 2017 used 1.27 MPa directly as mid-joint f_t
Mode-I fracture energy (brick crack),G_fI_brick,,0.107,N/mm,,calibrated/literature,"prior: Wilding 2017 Eq.8, integrated brick softening law, 0.107 N/mm; Mode-I only in Wilding's normal law - shear family added Day 4 below from their Table 3 mid-joint column"
Brick crack cohesion,c_brick,,1.91,MPa,,assumed/literature,Day 4 addition: Wilding 2017 Table 3 mid joint c = 1.91 MPa; consistent with their Eq.1 inverted c = f_t_brick*2*tan_phi = 1.27*2*0.75 = 1.905; needed because our middle-joint zeroLength carries a shear material (Decision 004 Option A)
Brick crack friction coefficient,mu_brick,,0.75,-,,assumed,Day 4 addition: Wilding 2017 Table 3 mid joint tan_phi = 0.75 (assumed by Wilding); used for BOTH peak and residual (no residual reported for bricks)
Mode-II fracture energy (brick crack),G_fII_brick,,1.068,N/mm,,calibrated/literature,Day 4 addition: Wilding 2017 Table 3 mid joint 1068 J/m2 = 1.068 N/mm (UNITS: 1 J/m2 = 0.001 N/mm); ~10x G_fI_brick per their rule
Compressive fracture energy,G_c,,,N/mm,,calibrated,"cap softening; no Wilding value reported - use Dolatshahi/literature prior, fill in Week 3 (compression cap weakly exercised by PUP2, hold fixed per Decision 001)"
Dilatancy angle,psi,,,-,,assumed,often taken ~0 for cyclic
Interface normal stiffness (bed joint),k_n_hor,,,N/mm3,,to_derive,Wilding 2017 Table 3 PUP value: 25.4 N/mm3 (their Eq.2); DERIVED AT RUNTIME by model_builder.derive_stiffnesses() from E_b / E_masonry / h_m - leave value empty; our chain gives 23.78 (6% below Wilding; their k_n back-solves to E_mas ~ 3730 vs our measured 3550)
Interface shear stiffness (bed joint),k_s_hor,,,N/mm3,,to_derive,"Wilding 2017 Table 3 PUP value: 5.54 N/mm3 (their Eq.4); head joint values: k_n 11.1 / k_s 2.44 (mortar moduli taken as 1/3 of bed joint); DERIVED AT RUNTIME by model_builder.derive_stiffnesses() - our chain gives 5.21 bed / 7.84 + 1.73 head. Day 6 (2026-07-22) CROSS-CHECK: Wilding Table 3 confirmed (PUP hor. 25.4/5.54, vert. 11.1/2.44); our chain lands ~6% below on bed as logged. The .inp (2602584) was NOT accessible; Wilding's paper does not print the Emas they fed Eq.2/3, so our 'Emas~3730 back-solve' explanation for the 6% gap remains a documented hypothesis, not confirmed. Our measured Emas=3550 governs; divergence reported, not corrected. Head k_n/k_s do not reproduce cleanly from the /3 rule under either Emas (noted, not chased)."
Brick elastic modulus,E_b,,14000,MPa,,literature prior,"Wilding 2017 rule E_b = 400*f_B,c = 400*35 = 14000 MPa for PUP bricks (their Table 2 PUP row); prior filled Day 4 - consumed by derive_stiffnesses()"
Brick Poisson ratio,nu_brick,,0.15,-,,literature,Day 4 addition: Wilding 2017 Table 2 (PUP row) nu = 0.15; DISTINCT from measured masonry nu = 0.2 above; enters Eq.6 G_b = E_b/(2(1+nu)) in derive_stiffnesses()
Hysteretic cyclic damage (ductility),damage1,0.035,0,-,,calibrated,"Week-4 calibration target (Day 1 decision 2026-07-22). OpenSees Hysteretic damage1 = stiffness degradation as function of ductility. Prior 0.0 = undamaged reload (Week-3 default, Decision 004 Day-3 note). NOT sourced from Wilding kappa=0.76 (plasticity VUMAT, different mechanism) or Vanin mu_R (macroelement) - neither maps to Hysteretic's scalar. Value column filled by PUP2 cyclic calibration; prior never overwritten. || [Decision 008, W4D3 2026-07-27] STAGE-2 target (unchanged). Backbone is symmetric on clean pushes (+204.6/-204.7); exp +8.5% asymmetry is a load-history effect for damage to reproduce around a FIXED rocking backbone. Value filled by Stage-2 cyclic calibration; prior 0.0 never overwritten. || [Decision 010, W4D3 2026-07-27] OPTION-B TRIGGERED. Converges only WITH damage2 (alone stalls); every converging config gives 27-35% asymmetry vs 8.5% target. NOT calibrated to a value — Option-A search halted pending Decision 004 Option-B evaluation. Prior 0.0 stands. || [Decision 011, W4D4 2026-07-28] OPTION-B FORK RESOLVED on a Windows-confirmed, driver-FIXED run. The Decision 010 stall was a cyclic() driver bug (step-trim collapse on peak re-approach), not physics — fixed. With the driver fixed the reachable asymmetry FLOOR among configs converging to +/-0.36% is 12.1% (d1=0.02,d2=0) vs 8.5% target; Decision 010's 27-35% floor is CORRECTED (artefact). 12.1% is 0.1% above the +/-3.5 band and nothing near it converges lower -> Option-B trigger FIRES; Option B (hybrid) adopted. d1=0.02 is provisional best-converging, NOT calibrated. Prior 0.0 stands; superseded once Option B changes the architecture. || [Decision 012, W4D5 2026-07-28] Option-B hybrid BUILT. damage now also drives the CONVERGENCE of the hybrid reversal: stalls at 0.02/0.05, converges at (0.1,0.1). damage (0.1,0.1) is a CONVERGENCE probe, NOT calibrated. Whether B at converging-damage hits 8.5% asymmetry is the Day-6 open question. Prior 0.0 stands. || [Decision 013, W4D6 2026-07-31] CALIBRATED: value=0.035 reproduces PUP2 +8.5% push-pull asymmetry (model +8.4%) at full +/-0.36% convergence, Option B (shear_law='B'). damage1 (cohesive) is the SOLE asymmetry knob in B; d2 does not move the peaks. Corrects Decision 012 floor: full stepped protocol converges to d1=0.015 (0.01 stalls), far below the ~0.1 single-reversal caveat. Container dry-run confirmed on Windows (see stamp below). Value column now filled (0.035); prior 0.0 retained. || [Windows-confirmed 2026-08-02, OpenSeesPy 3.8.0.0] d1=0.035 -> +8.42% asymmetry, converged to full +/-0.36% (V+ 204.4, V- -188.6 kN); reproduces the container dry-run digit-for-digit. Convergence edge on Windows: 0.02 clean, 0.015 marginal, 0.01 stall. Decision 013 FINAL. || [Decision 015, W5D2 2026-08-04, Windows-confirmed OpenSeesPy 3.8.0.0] CAVEAT 013(d) CLOSED, NEGATIVE. d1=0.035 calibrated on the stepped +/-0.36% protocol does NOT survive the full recorded PUP2 history: driven through the true 34-peak protocol (driver fix: _try_step max_depth 6->8 + cyclic dstep 0.0125) the asymmetry grows to +17.64% (V+ 149.8 at +/-0.141%, V- -127.3), not +8.5%, via runaway negative-side degradation (loop-shape over-degradation past +/-0.14%). d1=0.035 HELD, NOT re-tuned (downgrade clause: not fitting driver damage-accumulation to hide a class limitation). The recorded-protocol over-degradation is escalated to a friction-floor/tension-symmetric-damage architecture re-examination (future work). Value column stays 0.035 (stepped-protocol calibration); prior 0.0 retained."
Hysteretic cyclic damage (energy),damage2,0.035,0,-,,calibrated,"Week-4 calibration target (Day 1 decision 2026-07-22). OpenSees Hysteretic damage2 = stiffness degradation as function of energy dissipated. Prior 0.0 = undamaged reload. Same sourcing note as damage1: calibrated against PUP2, not borrowed. KNOWN LIMITATION: Hysteretic degrades tension+compression symmetrically; cannot reproduce Wilding's tension-only-with-compression-recovery bed-joint rule (p.6) - watch for systematic bed-joint hysteresis mismatch -> Decision 004 Option B revisit trigger. || [Decision 008, W4D3 2026-07-27] STAGE-2 target (unchanged). See damage1. Calibrated against full PUP2 cyclic protocol (loop shape + energy + asymmetry). || [Decision 010, W4D3 2026-07-27] OPTION-B TRIGGERED. Energy-damage necessary for convergence but insufficient to hit 8.5% asymmetry at a converged state (floor ~27% incl. beta sweep). NOT calibrated to a value. Prior 0.0 stands. || [Decision 011, W4D4 2026-07-28] OPTION-B FORK RESOLVED (see damage1). Driver-fixed Windows sweep: converging floor 12.1%, not the Decision 010 ~27% (that beta/floor evidence was measured on the contaminated driver, superseded). Option B adopted. NOT calibrated to a value. Prior 0.0 stands. || [Decision 012, W4D5 2026-07-28] See damage1: hybrid needs damage >= ~0.1 to carry the reversal (parallel friction-floor cost). Not calibrated. Prior 0.0 stands. || [Decision 013, W4D6 2026-07-31] Under Option B, damage2 does NOT affect envelope peak asymmetry (verified: (0.035,0.0)=(0.035,0.035)=8.4%; (0.10,0.0)=(0.10,0.10)=18.9%). Left for loop-shape/energy fit against the full recorded PUP2 protocol; does not disturb the locked d1=0.035 peak calibration. Value set to 0.035 as a placeholder pending that fit; prior 0.0 retained. || [Decision 015, W5D2 2026-08-04, Windows-confirmed] damage2 RULED INERT at d1=0.035: isolated-material force history changes by 0.0009/1.2 (negligible) between d2=0 and d2=0.035; full recorded PUP2 run gives +17.64% asymmetry IDENTICAL at d2=0 and d2=0.035 (Windows RUN 3). Confirms the recorded-protocol runaway is a damage1 x friction-floor effect, NOT an unfit energy-damage parameter — recalibrating d2 cannot fix the loop shape. Value stays 0.035 placeholder; prior 0.0 retained. The loop-shape/energy fit that d2 was reserved for is subsumed by the architecture re-examination (Decision 015 escalation)."
Hybrid cohesive spring (Option B),c_coh,,,MPa,derived at runtime,derived,"Option-B (Decision 012) cohesive spring peak = c; elastic slope k_coh = c/d_y with d_y=(c+mu_res*sigma_n)/k_s so cohesion+friction sum to k_s (no double-count). Softens to 0 (asymmetry lever). make_shear_material_hybrid, interface_laws.py. Only active when shear_law='B'."
Hybrid friction floor (Option B),tau_floor,,,MPa,derived at runtime,derived,"Option-B (Decision 012) Hysteretic FLAT-PLATEAU floor Fy = mu_res*sigma_n, rises over d_y then holds flat. NOT CoulombDamper (linear in static push) nor Steel01 (foreign hardening). Persistent friction after cohesion softens -> plateau. Only active when shear_law='B'."
